CENSUS_YEAR,DGUID,ALT_GEO_CODE,GEO_LEVEL,GEO_NAME,DATA_QUALITY_FLAG,population_2021,population_density_km2,age_65_plus_pct,average_household_size,median_total_income_2020,low_income_lim_at_pct,renter_households_pct,shelter_cost_30pct_plus_pct,bachelor_or_higher_age25_64_pct,unemployment_rate_pct
2021,2021S05078250077.14,8250077.14,Census tract,8250077.14,00000,3726,3625.9,17.6,2.9,43600,6.2,10.7,14.6,53.6,13.8
2021,2021S05078250077.16,8250077.16,Census tract,8250077.16,00000,6149,2491.9,21.1,3,41200,7.7,7.6,15.9,64.5,14.2
2021,2021S05078250077.17,8250077.17,Census tract,8250077.17,00000,5002,2652.5,19.3,2.9,42400,11,24.3,19.3,52.7,13.4
2021,2021S05078250077.19,8250077.19,Census tract,8250077.19,00000,4718,363.6,17.5,2.7,44400,7.8,13.6,12,36.7,13.2
2021,2021S05078250077.20,8250077.20,Census tract,8250077.20,00000,5162,2701.2,9.1,3,46000,4.5,12.1,17.4,36.3,10.5
2021,2021S05078250077.21,8250077.21,Census tract,8250077.21,00000,5435,1899.8,22.7,2.4,40000,9,18.8,20.6,44.9,11.5
2021,2021S05078250077.22,8250077.22,Census tract,8250077.22,00000,5019,2784.9,17.9,3,43600,4.8,9,11.4,53.9,13.5
2021,2021S05078250077.23,8250077.23,Census tract,8250077.23,00000,5668,2346.9,7.9,2.9,46400,6.6,13.8,18.7,49.9,12.9
2021,2021S05078250077.24,8250077.24,Census tract,8250077.24,00000,4528,3275.2,13.5,3,42000,6.7,10.9,10.6,46,13.9
2021,2021S05078250077.25,8250077.25,Census tract,8250077.25,00000,5891,884,10.4,2.7,49200,8.7,21,26.2,53.1,9.3
2021,2021S05078250077.26,8250077.26,Census tract,8250077.26,00000,5705,3052.9,11.5,3.1,46400,6.9,10.8,19.7,57.1,11.6
2021,2021S05078250077.27,8250077.27,Census tract,8250077.27,00000,4358,3335.1,22.1,2.3,46400,8.3,24.1,21.9,50.2,15.7
